ObjID,Name,RA,dec,Cluster,Selection,Field,r-band,JClass
19,2MASXJ10295304-3522307,10:29:53,-35:22:30,Antlia,Sample,HYDRA-D-4,,0
23,2MASXJ10340867-3438013,10:34:09,-34:38:02,Antlia,Sample,HYDRA-D-1,14.3,0
156,ESO375-41,10:29:30,-35:15:35,Antlia,Sample,HYDRA-D-2,13.27,0
157,ESO375-59,10:31:58,-35:11:55.000,Antlia,Sample,HYDRA-D-1,12.86,0
158,ESO375-60,10:32:25,-34:59:54,Antlia,Sample,HYDRA-D-1,14.01,0
160,ESO375-62,10:32:49,-34:23:58,Antlia,Sample,HYDRA-D-1,13.19,0
161,ESO375-64,10:34:00,-35:16:54.6,Antlia,Sample,HYDRA-D-1,13.37,0
185,ESO375-28,10:27:20,-35:16:27,Antlia,Sample,HYDRA-D-2,13.71,0
187,ESO375-57,10:31:57,-34:59:23,Antlia,Sample,HYDRA-D-1,13.65,0
188,ESO375-63,10:31:36,-26:25:05,Antlia,Sample,HYDRA-D-1,,0
201,IC2584,10:29:52,-34:54:40,Antlia,Sample,HYDRA-D-1,12.28,0
213,NGC3258,10:28:53,-35:36:19,Antlia,Sample,HYDRA-D-4,10.86,0
214,NGC3269,10:29:56,-35:13:25,Antlia,Sample,HYDRA-D-1,11.73,0
215,NGC3281,10:31:52,-34:51:17,Antlia,Sample,HYDRA-D-1,11.17,0
230,NGC3289,10:34:06,-35:19:27,Antlia,Sample,HYDRA-D-1,12.35,0
233,UNKNOWN8,10:34:34,-36:20:45,Antlia,Sample,HYDRA-D-3,,0
224,NGC1365,03:33:36,-36:08:23,Fornax,Sample,splus-s28s33,8.79,0
16,2MASXJ10292838-3440214,10:29:28,-34:40:22,Antlia,Sample,HYDRA-D-2,,0
196,IC1904,03:15:01,-30:42:29,Fornax,Sample,splus-s24s32,12.99,0
53,6dFGSgJ103416.6-283406,10:34:17,-28:34:04.000,Hydra,Sample,HYDRA-0045,14.87,0
97,ESO501-42,10:36:56,-26:11:39,Hydra,Sample,HYDRA-0036,12.77,0
98,ESO501-45,10:37:13,-26:40:15,Hydra,Sample,HYDRA-0036,13.96,0
105,ESO501-68,10:39:18,-26:50:22,Hydra,Sample,HYDRA-0036,13.07,0
171,ESO501-75,10:40:59,-27:05:17,Hydra,Sample,HYDRA-0037,12.29,0
108,ESO501-8,10:32:48,-27:31:20,Hydra,Sample,HYDRA-0044,13.4,0
109,ESO501-82,10:43:11,-26:14:59,Hydra,Sample,HYDRA-0037,12.99,0
110,ESO501-59,10:37:49,-27:07:18,Hydra,Sample,HYDRA-0036,13.13,0
0,2MASXJ03150668-3343490,03:15:07,-33:43:52,Fornax,Sample,splus-s26s31,,0
12,2MASXJ03542014-3658077,03:54:19,-36:58:15,Fornax,Sample,splus-s29s35,,0
164,ESO417-20,03:12:49,-31:29:11,Fornax,Sample,splus-s24s32,15.053,0
191,ESO418-9,03:31:56,-31:20:20,Fornax,Sample,splus-s24s35,13.17,0
128,MCG-05-08-020,03:09:41,-31:41:40,Fornax,Sample,splus-s25s31,14.299,0
186,ESO375-53,10:31:24,-35:13:15,Antlia,Sample,HYDRA-D-1,13.3,0
212,NGC3249,10:26:22,-34:57:50,Antlia,Sample,HYDRA-D-2,12.54,0
25,2MASXJ10370719-2752211,10:37:07,-27:52:21,Hydra,Sample,HYDRA-0045,,0
32,2MFGC8182,10:33:07,-26:25:24,Hydra,Sample,HYDRA-0035,,0
52,6dFGSgJ103206.7-260151,10:32:06,-26:01:49,Hydra,Sample,HYDRA-0035,15.8,0
167,ESO437-3,10:35:07,-27:59:35,Hydra,Sample,HYDRA-0045,14.83,0
99,ESO501-47,10:37:17,-27:28:07,Hydra,Sample,HYDRA-0045,13.17,0
101,ESO501-53,10:37:38,-26:16:36,Hydra,Sample,HYDRA-0036,13.67,0
103,ESO501-60,10:37:54,-26:04:28,Hydra,Sample,HYDRA-0036,15.11,0
152,UNKNOWN4,10:34:06,-28:02:30,Hydra,Sample,HYDRA-0045,,0
154,TSK2008846,03:10:23,-33:09:13,Fornax,Sample,splus-s26s30,,0
172,ESO35710,03:15:42,-33:32:28,Fornax,Sample,splus-s26s31,11.35,0
174,ESO35727,03:24:58,-37:00:40,Fornax,Sample,splus-s29s31,13.23,0
179,ESO3585,03:27:16,-33:29:10,Fornax,Sample,splus-s26s33,13.69,0
197,IC1913,03:19:34,-32:27:54,Fornax,Sample,splus-s25s32,13.54,0
21,2MASXJ10302530-3533483,10:30:25,-35:33:49,Antlia,Sample,HYDRA-D-3,,0
155,ESO375-26,10:27:02,-36:13:46,Antlia,Sample,HYDRA-D-4,13.15,0
162,ESO375-68,10:34:19,-34:24:11,Antlia,Sample,HYDRA-D-1,13.19,0
202,LEDA662179,10:28:58,-34:26:18,Antlia,Sample,HYDRA-D-2,,0
